,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,0,20,1.0
1,20,-1.0,100,2020,-0.05
2,20,0.0,200,4020,0.06
3,20,1.0,300,6020,0.03
4,20,0.0,400,8020,-0.09
5,20,1.0,500,10020,-0.07
6,20,0.0,600,12020,0.2
7,20,0.0,700,14020,0.27
8,20,0.0,800,16020,0.48
9,20,0.0,900,18020,0.2
10,20,2.0,1000,20020,0.47
11,20,0.0,1100,22020,0.47
12,20,0.0,1200,24020,0.58
13,20,2.0,1300,26020,0.64
14,20,1.0,1400,28020,0.56
15,20,0.0,1500,30020,0.56
16,20,0.0,1600,32020,0.73
17,20,0.0,1700,34020,0.65
18,20,0.0,1800,36020,0.64
19,20,1.0,1900,38020,0.78
20,20,1.0,2000,40020,0.7
21,20,0.0,2100,42020,0.66
22,20,0.0,2200,44020,0.63
23,20,1.0,2300,46020,0.77
24,20,1.0,2400,48020,0.88
25,20,2.0,2500,50020,0.62
26,20,1.0,2600,52020,0.71
27,20,0.0,2700,54020,0.72
28,20,1.0,2800,56020,0.69
29,20,1.0,2900,58020,0.73
30,20,-1.0,3000,60020,0.71
31,20,-1.0,3100,62020,0.94
32,20,1.0,3200,64020,0.8
33,20,2.0,3300,66020,0.77
34,20,1.0,3400,68020,0.73
35,20,1.0,3500,70020,0.78
36,20,2.0,3600,72020,0.84
37,20,1.0,3700,74020,0.72
38,20,0.0,3800,76020,0.65
39,20,-2.0,3900,78020,0.86
40,20,1.0,4000,80020,0.65
41,20,1.0,4100,82020,0.82
42,20,2.0,4200,84020,0.83
43,20,1.0,4300,86020,0.71
44,20,0.0,4400,88020,0.96
45,20,0.0,4500,90020,0.73
46,20,1.0,4600,92020,0.95
47,20,0.0,4700,94020,0.75
48,20,1.0,4800,96020,0.77
49,20,1.0,4900,98020,0.73
50,20,0.0,5000,100020,0.83
51,20,0.0,5100,102020,0.8
52,20,1.0,5200,104020,0.95
53,20,1.0,5300,106020,0.76
54,20,0.0,5400,108020,0.75
55,20,1.0,5500,110020,0.79
56,20,1.0,5600,112020,0.79
57,20,2.0,5700,114020,0.77
58,20,1.0,5800,116020,0.68
59,20,1.0,5900,118020,0.78
60,20,0.0,6000,120020,0.66
61,20,0.0,6100,122020,0.89
62,20,2.0,6200,124020,0.79
63,20,2.0,6300,126020,0.74
64,20,2.0,6400,128020,0.9
65,20,2.0,6500,130020,0.79
66,20,0.0,6600,132020,0.99
67,20,-1.0,6700,134020,0.89
68,20,0.0,6800,136020,0.71
69,20,2.0,6900,138020,0.87
70,20,0.0,7000,140020,0.76
71,20,1.0,7100,142020,0.86
72,20,2.0,7200,144020,0.84
73,20,1.0,7300,146020,0.85
74,20,0.0,7400,148020,0.87
75,20,0.0,7500,150020,0.84
76,20,2.0,7600,152020,0.74
77,20,2.0,7700,154020,0.83
78,20,1.0,7800,156020,0.69
79,20,2.0,7900,158020,0.88
80,20,2.0,8000,160020,0.87
81,20,1.0,8100,162020,0.93
82,20,1.0,8200,164020,0.74
83,20,1.0,8300,166020,0.75
84,20,0.0,8400,168020,0.69
85,20,0.0,8500,170020,0.77
86,20,1.0,8600,172020,0.9
87,20,1.0,8700,174020,0.79
88,20,1.0,8800,176020,0.9
89,20,1.0,8900,178020,0.82
90,20,1.0,9000,180020,0.78
91,20,2.0,9100,182020,0.9
92,20,1.0,9200,184020,0.81
93,20,0.0,9300,186020,0.78
94,20,1.0,9400,188020,0.99
95,20,2.0,9500,190020,0.68
96,20,1.0,9600,192020,0.97
97,20,0.0,9700,194020,0.79
98,20,0.0,9800,196020,0.77
99,20,1.0,9900,198020,0.85
100,20,1.0,10000,200020,0.86
101,20,1.0,10100,202020,0.88
102,20,1.0,10200,204020,0.9
103,20,1.0,10300,206020,0.91
104,20,0.0,10400,208020,0.92
105,20,1.0,10500,210020,0.91
106,20,1.0,10600,212020,0.84
107,20,0.0,10700,214020,0.9
108,20,0.0,10800,216020,0.96
109,20,0.0,10900,218020,0.83
110,20,2.0,11000,220020,0.98
111,20,0.0,11100,222020,0.94
112,20,1.0,11200,224020,1.06
113,20,1.0,11300,226020,0.85
114,20,0.0,11400,228020,1.01
115,20,0.0,11500,230020,1.03
116,20,1.0,11600,232020,0.83
117,20,2.0,11700,234020,0.93
118,20,2.0,11800,236020,0.84
119,20,1.0,11900,238020,0.98
120,20,1.0,12000,240020,0.96
121,20,1.0,12100,242020,0.94
122,20,1.0,12200,244020,0.84
123,20,1.0,12300,246020,0.95
124,20,0.0,12400,248020,0.79
125,20,1.0,12500,250020,0.91
126,20,1.0,12600,252020,0.98
127,20,-1.0,12700,254020,1.03
128,20,0.0,12800,256020,0.88
129,20,2.0,12900,258020,0.87
130,20,0.0,13000,260020,0.9
131,20,1.0,13100,262020,0.95
132,20,2.0,13200,264020,0.94
133,20,1.0,13300,266020,0.97
134,20,1.0,13400,268020,1.07
135,20,0.0,13500,270020,1.02
136,20,2.0,13600,272020,0.96
137,20,2.0,13700,274020,0.9
138,20,0.0,13800,276020,1.0
139,20,0.0,13900,278020,1.01
140,20,1.0,14000,280020,0.93
141,20,0.0,14100,282020,1.07
142,20,0.0,14200,284020,1.02
143,20,2.0,14300,286020,0.95
144,20,1.0,14400,288020,1.03
145,20,2.0,14500,290020,1.07
146,20,1.0,14600,292020,0.9
147,20,2.0,14700,294020,0.96
148,20,1.0,14800,296020,1.02
149,20,2.0,14900,298020,1.13
150,20,1.0,15000,300020,0.96
151,20,1.0,15100,302020,1.03
152,20,1.0,15200,304020,1.01
153,20,0.0,15300,306020,0.92
154,20,0.0,15400,308020,1.02
155,20,1.0,15500,310020,1.01
156,20,0.0,15600,312020,1.02
157,20,-1.0,15700,314020,0.99
158,20,2.0,15800,316020,1.07
159,20,1.0,15900,318020,0.92
160,20,1.0,16000,320020,1.09
